cod_fundo;nome;classe;situaçao;inicio;atualização
77887; BRADESCO FIA SALUBRE;ações; A; 2000-06-01; 2019-06-13T11
77992; BRADESCO FIC DE FI RF REF DI HIPERFUNDO; Renda Fixa; A; 2000-05-08; 2020-06-09T16
78131; BAHIA AM II FIA;ações; A; 2000-06-30; 2019-11-08T16
78247; ITAU K2 MULTIMERCADO FC; Multimercados; A; 2000-07-03; 2020-04-06T16
78263; GOYAZES FI MULTIMERCADO; Multimercados; A; 2000-06-19; 2019-07-02T17
78778; SAFRA CONSUMO FC FIA;ações; A; 2000-07-05; 2020-09-01T17
78840; FI RF FAELCE JERI; Renda Fixa; A; 2000-03-30; 2019-12-10T16
79014; ITAU PRIVATE ACOES PETROBRAS FI;ações; A; 2000-07-12; 2019-06-13T14
79022; BB ACOES PETROBRAS FI;ações; A; 2000-07-10; 2019-06-10T17
79030; BB FMP FGTS PETROBRAS;ações; A; 2000-08-17; 2018-07-17T14
79146; BRADESCO FIA PETROBRAS;ações; A; 2000-07-10; 2019-07-03T17
79154; SAFRA FIA PETROBRAS;ações; A; 2000-07-10; 2019-11-12T16
79162; ITAU ACOES PETROBRAS FI;ações; A; 2000-07-10; 2019-06-13T14
79375; ITAU FLEXPREV MASTER RENDA FIXA FICFI; PrevidÃªncia; A; 2000-08-01; 2019-11-01T16
79383; BRADESCO H FIA PETROBRAS;ações; A; 2000-07-18; 2019-06-13T11
79588; SUL AMERICA FMP FGTS PETROBRAS;ações; A; 2000-08-17; 2017-10-26T18
79596; BNP PARIBAS FMP FGTS PETROBRAS;ações; A; 2000-08-17; 2015-10-02T21
79731; BANESTADO FMP FGTS PETROBRAS;ações; A; 2000-08-17; 2020-04-30T16
79741; MAXIMA FGTS;ações; A; 2000-08-17; 2015-10-02T21
79758; FATOR FMP FGTS PETROBRAS;ações; A; 2000-08-17; 2017-11-28T18
79839; FMP FGTS UNIBANCO R PETR;ações; A; 2000-08-17; 2020-04-08T16
79847; FMP FGTS UNIBANCO C PETR;ações; A; 2000-08-17; 2019-07-02T17
79855; FMP FGTS UNIBANCO F PETR;ações; A; 2000-08-17; 2019-07-02T17
79871; FMP FGTS UNIBANCO P PETR;ações; A; 2000-08-17; 2020-04-08T16
79881; ITAUBANCO PETROBRAS FMP FGTS;ações; A; 2000-08-17; 2019-07-01T18
79898; BANESTES FGTS;ações; A; 2000-08-17; 2015-10-02T21
79901; ITAU PETROBRAS FMP FGTS;ações; A; 2000-08-17; 2019-07-01T18
79911; ITAU PERSON PETROBRAS FMP FGTS;ações; A; 2000-08-17; 2019-07-01T18
79936; ITAU DESENV. PETROBRAS FMP FGTS;ações; A; 2000-08-17; 2019-07-01T18
79944; CSHG FMP FGTS PETROBRAS;ações; A; 2000-08-17; 2019-07-16T18
80012; SANTANDER FMP FGTS PETROBRAS IV;ações; A; 2000-08-17; 2019-07-01T18
80039; SANTANDER FP FMP   FGTS PETROBRAS;ações; A; 2000-08-17; 2019-07-01T18
80047; SANTANDER FI PETROBRAS  ACOES;ações; A; 2000-07-10; 2019-06-13T15
80101; ITAU CORP FEDERAL PLUS RF CP FICFI; Renda Fixa; A; 2000-08-11; 2016-11-10T14
80111; FEDERAL RF CP FI; Renda Fixa; A; 2000-08-11; 2019-08-27T17
