cod_fundo;nome;classe;situaçao;inicio;atualização
95664; BRADESCO FIA SELECTION;ações; A; 2001-03-26; 2019-06-13T11
95702; ONDINA FC FI MULT CRED PRIV IE; Multimercados; A; 2001-12-11; 2020-01-10T16
95753; SOLO FIC FI MULT CRED PRIV; Multimercados; A; 2001-08-24; 2019-01-02T15
95796; AKRON FICFI MULT CRED PRIV IE; Multimercados; A; 2001-11-22; 2019-07-02T17
95826; ARIETIS RF REFERENCIADO DI FI; Renda Fixa; A; 2001-10-04; 2016-02-04T12
95842; ITAU FLEXPREV PREMIUM RENDA FIXA FICFI; PrevidÃªncia; A; 2001-11-27; 2019-11-01T17
95923; PACK FIX 100 FICFI ESPEC CONST RF; PrevidÃªncia; A; 2001-12-13; 2019-11-01T17
96016; FI EM ACOES IP SELECAO;ações; A; 2001-10-15; 2020-03-27T16
96040; ITAU PREVIDENCIA IBRX FIA;ações; A; 2001-12-17; 2020-02-05T16
96229; BRADESCO PRIVATE FIC FI CAMBIAL DOLAR; Cambial; A; 2001-09-20; 2017-01-23T16
96245; BRADESCO PRIVATE FIC DE FIA IBOVESPA;ações; A; 2000-12-19; 2020-04-13T11
96271; BRADESCO PRIVATE FIC DE FI RF REF DI; Renda Fixa; A; 2001-06-20; 2017-01-23T16
96318; BRAD PRIVATE FIC FI RF SIMPLES FED PLUS; Renda Fixa; A; 2001-11-05; 2019-09-19T12
96326; BRADESCO PRIVATE FIA IBOVESPA ATIVO;ações; A; 2000-12-19; 2019-06-13T11
96415; BRADESCO FIC DE FI CAMBIAL DOLAR SPECIAL; Cambial; A; 2001-07-02; 2017-02-24T10
96490; BRADESCO FIC FI RF PGBL VGBL FIX PLUS; PrevidÃªncia; A; 2001-07-31; 2019-11-01T18
96792; ITAUPREV CLASSIC V40 MULT FICFI; PrevidÃªncia; A; 2001-12-20; 2019-11-01T16
96806; ITAUPREV CLASSIC V10 MULT FICFI; PrevidÃªncia; A; 2001-12-20; 2019-11-01T16
96814; ITAUPREV CLASSIC V20 MULT FICFI; PrevidÃªncia; A; 2001-12-20; 2019-11-01T17
96822; ITAUPREV CLASSIC RF F100 FICFI; PrevidÃªncia; A; 2001-12-20; 2019-11-01T17
97020; BRADESCO FIC MULTIMERCADO PGBL V25 15; PrevidÃªncia; A; 2001-12-28; 2019-11-01T16
97055; FAPI BANRISUL CONSERVADOR; PrevidÃªncia; A; 2001-12-07; 2019-11-27T16
97081; CSHG ALL VERDE 14 FCFI MULT; Multimercados; A; 2001-11-01; 2020-04-09T22
97101; SANTA FE AQUARIUS FI MULT; Multimercados; A; 2001-12-20; 2020-05-12T16
97136; BRADESCO FIC DE FI RF RENTAMAXI; Renda Fixa; A; 2002-01-07; 2019-10-08T17
97160; ITAU FI IDEAL PREV PREVIDENCIARIO RF FI; Renda Fixa; A; 2002-01-11; 2016-11-01T16
97187; MAPFRE REC LIQ BRASILVEICULOS FI RF; Renda Fixa; A; 2002-01-02; 2019-06-19T16
97217; ITAU FLEXPREV XII A RF FICFI; PrevidÃªncia; A; 2001-12-20; 2020-01-06T16
97489; FIBRA CSN INV PLUS MULTICARTEIRA FIF; Multimercados; A; 2001-11-12; 2020-09-01T17
97632; FI INVESTMET RENDA FIXA PREVIDENCIARIO; PrevidÃªncia; E; 2002-01-24; 2019-12-10T16
97721; MB PREV VIII RF FDO INV FIN CRED PRIV; PrevidÃªncia; A; 2002-01-09; 2019-10-31T18
97799; CORPORATE FI RENDA FIXA CREDITO PRIVADO; Renda Fixa; A; 2002-01-02; 2016-05-16T13
98051; MULTIMANAGER PLUS MULTIMERCADO FICFI; Multimercados; A; 2002-02-05; 2015-10-02T21
98108; WA MULTI RF STAR FIC FI RENDA FIXA; Renda Fixa; A; 2002-02-04; 2019-02-04T16
98116; WA TRADICIONAL TOP FIC FI RENDA FIXA; Renda Fixa; A; 2002-02-04; 2018-12-10T19
98124; WA MULTI RF TOP FICFI RENDA FIXA; Renda Fixa; A; 2002-02-04; 2019-02-04T16
98132; WA TRADICIONAL STAR FIC FI RENDA FIXA; Renda Fixa; A; 2002-02-05; 2018-12-10T19
98167; WA TRADICIONAL FI RENDA FIXA; Renda Fixa; A; 2002-02-04; 2020-03-11T12
98231; SANT FIC FI PREV FIX EXECUT RF CRED PRIV; PrevidÃªncia; A; 2001-11-22; 2019-11-01T15
98248; SANT FICFI PREV AGRES SUP MULT CRED PRIV; PrevidÃªncia; A; 2001-11-22; 2019-11-01T15
98353; SANTANDER FI VALE 4 ACOES;ações; A; 2002-02-20; 2019-10-29T11
98681; BRADESCO FIA VALE;ações; A; 2002-02-20; 2019-06-13T11
98698; ITAU ACOES VALE FUNDO DE INVESTIMENTO;ações; A; 2002-02-20; 2019-06-13T14
98711; ITAU FMP FGTS VALE MIGRACAO;ações; A; 2002-02-26; 2019-07-01T18
98841; SAFRA FI ACOES VALE DO RIO DOCE;ações; A; 2002-02-21; 2019-01-04T14
98922; SULAMERICA MIX 30 IV FI MULTIMERCADO; PrevidÃªncia; A; 2001-12-14; 2019-10-31T18
98930; SULAMERICA FIX 100 IV FI RENDA FIXA; PrevidÃªncia; A; 2001-12-14; 2019-10-31T18
99104; BRADESCO BA FIA VALE;ações; A; 2002-02-21; 2019-06-13T11
99181; ITAU FLEX CORP PLATI RV49 FICFI MULT; PrevidÃªncia; A; 2002-02-06; 2019-11-01T17
99260; INSTITUTIONAL ACTIVE FIX IB MULTIM FI; Multimercados; A; 2002-03-12; 2019-07-02T17
99295; CAIXA FI ACOES VALE DO RIO DOCE;ações; A; 2002-02-20; 2019-06-05T18
99309; CAIXA FMP FGTS VALE MIGRACAO;ações; A; 2002-02-26; 2019-03-08T16
99481; ICATU VANG FC DE FI RF INFLA LONGA PREV; PrevidÃªncia; A; 2002-03-22; 2020-01-17T16
99491; CAIXA FMP FGTS VALE I;ações; A; 2002-03-27; 2019-03-08T16
99503; CAIXA FMP FGTS VALE II;ações; A; 2002-03-27; 2019-03-11T11
99511; PASSO MULT CRED PRIV IE FI; Multimercados; A; 2002-03-25; 2019-07-02T17
99589; GAP MULTIPORTFOLIO FC FI MULTI; Multimercados; A; 2002-01-02; 2019-08-09T18
99597; ITAU ACOES SEL MULTIFUNDOS FICFI;ações; A; 2002-01-28; 2019-07-02T17
99600; BB FMP FGTS VALE MIGRACAO;ações; A; 2002-03-07; 2016-07-27T15
99708; BB ACOES VALE FI;ações; A; 2002-02-26; 2019-06-10T17
99831; BB FMP FGTS VALE DO RIO DOCE;ações; A; 2002-03-27; 2018-07-17T14
99864; BRADESCO PRIVATE FI RF CREDITO PRIVADO; Renda Fixa; A; 2002-03-06; 2016-07-26T11
99880; BRADESCO FIC MULTIMERCADO VGBL V15 30; PrevidÃªncia; A; 2002-03-12; 2019-11-01T16
99899; BRADESCO FIC MULTIMERCADO VGBL V40 30; PrevidÃªncia; A; 2002-03-12; 2019-11-01T18
99902; BRADESCO FIC MULTIMERCADO VGBL V30 30; PrevidÃªncia; A; 2002-03-12; 2019-11-01T17
99910; BRADESCO FIC RF VGBL FIX; PrevidÃªncia; A; 2002-03-08; 2019-11-01T18
99945; UNIBANCO PB FMP FGTS VALE DO RIO DOCE;ações; A; 2002-03-27; 2019-07-03T17
99953; UNIBANCO P FMP FGTS VALE;ações; A; 2002-03-27; 2019-07-02T17
99961; UNIBANCO R FMP FGTS VALE DO RIO DOCE;ações; A; 2002-03-27; 2020-04-07T16
99971; UNIBANCO F FMP FGTS VALE DO RIO DOCE;ações; A; 2002-03-27; 2019-07-03T17
99996; MAGLIANO VALE;ações; A; 2002-03-27; 2016-10-07T16
100129; BRADESCO FMP FGTS VALE PRIVATE I;ações; A; 2002-03-27; 2019-07-01T18
100137; BRASIL PLURAL FMP  FGTS VALE DO RIO DOCE;ações; A; 2002-03-27; 2019-06-24T17
100145; BRADESCO FMP FGTS VALE;ações; A; 2002-03-27; 2019-07-01T18
100153; BRADESCO FMP FGTS VALE PRIVATE;ações; A; 2002-03-27; 2019-07-01T18
100188; BRAD FMP FGTS VALE MIGRACAO;ações; A; 2002-03-01; 2019-07-01T18
100201; FDO FORCA BRADESCO FMP FGTS VALE;ações; A; 2002-03-27; 2019-07-01T18
100277; ITAU FMP FGTS VALE;ações; A; 2002-03-27; 2019-07-01T18
100285; ITAUBANCO FMP FGTS VALE;ações; A; 2002-03-27; 2019-07-01T18
100315; BANESTES FGTS VALE;ações; A; 2002-03-27; 2015-10-02T21
100341; SANTANDER FMP FGTS VALE II;ações; A; 2002-03-27; 2019-07-01T18
100358; SANTANDER FMP FGTS VALE V;ações; A; 2002-03-27; 2019-07-01T18
100390; ICATU SEG DURATION FI RF; PrevidÃªncia; A; 2002-04-10; 2019-12-10T18
100447; ALFA III FMP FGTS VRD;ações; A; 2002-03-27; 2019-09-05T17
100455; SAFRA FMP VALE;ações; A; 2002-03-27; 2016-10-07T16
100463; ALFA I FMP FGTS VRD;ações; A; 2002-03-27; 2019-09-05T17
100536; SUL AMERICA FMP FGTS VALE DO RIO DOCE;ações; A; 2002-03-27; 2017-10-23T17
100676; ARX INCOME ICATU PREV FI MULTI; PrevidÃªncia; A; 2002-01-29; 2019-11-01T16
100935; BRADESCO FC DE FI RF REF DI SKY; Renda Fixa; A; 2002-02-04; 2019-09-09T16
100978; BB ATACADO FEDERAL FI RF LP; Renda Fixa; A; 2002-04-16; 2017-12-11T11
101001; BRASILPREV MULTIMERCADO DINAMICO II FC; PrevidÃªncia; A; 2002-02-06; 2019-11-01T15
101125; BRADFORD MULTIMERCADO CREDITO PRIVADO FI; Multimercados; A; 2002-04-15; 2016-05-04T12
101151; BRADESCO BA FMP FGTS VALE;ações; A; 2002-03-27; 2019-07-01T18
101370; BRAM PRIVATE FI RF CREDITO PRIVADO; Renda Fixa; A; 2002-05-02; 2020-01-24T16
101389; BRAD PRIV FIC MULTIMERC MULTIESTRATEGIA; Multimercados; A; 2002-05-02; 2017-01-27T16
101397; BRAD PRIV FC FI MULT MULTIESTR PLUS; Multimercados; A; 2002-05-02; 2018-08-31T16
101400; BRADESCO PRIVATE FIC RF CRED PRIV RATING; Renda Fixa; A; 2002-05-02; 2017-01-27T16
101419; ANDBANK PERFORMANCE LIVRE FC FI MULT; Multimercados; A; 2002-05-22; 2020-03-09T12
101478; BRAM PRIVATE FI MULT MULTIESTRATEGIA; Multimercados; A; 2002-05-02; 2016-07-18T15
101486; CAIXA FI MARFIM RF; Renda Fixa; A; 2002-05-20; 2018-10-16T15
101613; SANTANDER PB BAUNILHA MULT CRED PRIV FI; Multimercados; A; 2002-04-03; 2020-09-10T14
101834; ICATU SEG COMPOSTO 49E FC DE FI MULT; PrevidÃªncia; A; 2002-03-08; 2019-11-01T17
101931; ITAU UPJ SUPER RF CP FICFI; Renda Fixa; A; 2002-06-07; 2019-07-02T19
101941; BNY MELLON ARX CASH FI RF CURTO PRAZO; Renda Fixa; A; 2002-06-13; 2019-03-12T16
102008; ITAU RF CURTO PRAZO FI; Renda Fixa; A; 2002-06-03; 2019-07-02T17
102032; FATOR FMP FGTS VALE DO RIO DOCE;ações; A; 2002-03-27; 2017-11-28T18
102091; ITAU INSTITUCIONAL RF FI; Renda Fixa; A; 2002-06-03; 2019-07-02T17
102180; ITAU PLUS RF CURTO PRAZO FICFI; Renda Fixa; A; 2002-06-07; 2019-07-02T19
102407; CSHG SANTA LUCIA FI MULT CRED PRIV IE; Multimercados; A; 2002-06-13; 2020-04-30T16
102547; SANTANDER FIC FI LIQUIDEZ RF CP; Renda Fixa; A; 2002-06-04; 2018-04-26T12
102563; SANTANDER FI RENDA FIXA CURTO PRAZO; Renda Fixa; A; 2002-06-05; 2018-04-26T12
102679; BRADESCO FI CAMBIAL DOLAR TOP; Cambial; A; 2002-06-28; 2018-06-08T11
102733; BB CAMBIAL DOLAR LP FC; Cambial; A; 2002-06-28; 2019-11-18T15
102814; BRADESCO H FIA VALE DO RIO DOCE;ações; A; 2002-04-04; 2019-06-13T11
102822; BRADESCO H FMP FGTS VALE DO RIO DOCE;ações; A; 2002-04-05; 2019-06-13T11
102946; BNP PARIBAS FMP FGTS VALE R DOCE;ações; A; 2002-04-05; 2015-10-02T21
103101; CAIXA FIC LIQUIDEZ POLIS RF CURTO PRAZO; Renda Fixa; A; 2002-07-03; 2020-08-11T10
103209; TARPON CSHG FC FI ACOES;ações; A; 2002-07-02; 2019-07-16T18
103276; ITAU PP SUPER RF SIMPLES FICFI; Renda Fixa; A; 2002-04-30; 2017-08-08T17
103470; BB RF CP AUTOMATICO MAIS FIC FI; Renda Fixa; A; 2002-06-26; 2020-05-19T16
103527; BB RF REF DI LP 200 MIL FC; Renda Fixa; E; 2002-06-18; 2019-12-09T15
103675; ITAU PERSONNALITE CP FICFI; Renda Fixa; A; 2002-06-07; 2019-07-02T17
103713; SANTANDER PB MURALHA MULT CRED PRIV FI; Multimercados; A; 2002-07-19; 2020-09-11T11
103780; BB TOP EURO FI CAMBIAL LP; Cambial; A; 2002-07-01; 2019-05-10T18
103934; SANTANDER FIC FI SOBERANO RF CURTO PRAZO; Renda Fixa; A; 2002-07-12; 2018-01-03T15
104019; SUL AMERICA EXCLUSIVE FI RF REF DI; Renda Fixa; A; 2002-04-26; 2020-05-12T16
104061; GOV SP FC FI PRINCIPAL RF REF DI; Renda Fixa; A; 2002-04-30; 2016-08-02T10
104078; BB RF REF DI LP MEGA FC FI; Renda Fixa; A; 2002-04-30; 2019-12-05T16
104175; BB ACOES SMALL CAPS FC FI;ações; A; 2002-07-19; 2019-12-06T19
104213; BB ACOES EXPORTACAO FC FI;ações; A; 2002-07-23; 2019-12-06T19
104221; BB ACOES DIVIDENDOS FC FI;ações; A; 2002-07-19; 2019-06-17T17
104353; BB RF REFERENCIADO DI SOCIAL 50 FC FI; Renda Fixa; A; 2002-07-18; 2019-12-05T16
104388; BB TOP ACOES EXPORTACAO FIA;ações; A; 2002-07-23; 2019-06-28T17
104396; BB TOP ACOES DIVIDENDOS FI;ações; A; 2002-07-19; 2020-03-27T16
104434; CAIXA FIC CAPITAL IND PRECOS RF LP; Renda Fixa; A; 2002-08-01; 2018-09-19T15
104541; FIVESTARS PREV FI MULTI; Multimercados; A; 2002-08-05; 2020-02-07T18
104698; SANTANDER FI BANDEPREV MULT CRED PRIV; Multimercados; A; 2002-08-08; 2020-02-11T17
104868; BB TOP ACOES SMALL CAPS FI;ações; A; 2002-07-19; 2020-03-05T18
104930; ITAU MULTIMERCADO EQUITY HEDGE FICFI; Multimercados; A; 2002-08-01; 2018-10-16T15
105007; ALFA II FMP FGTS VRD;ações; A; 2002-05-24; 2019-09-05T17
105163; BB OLIMPO 33 FI RENDA FIXA; Renda Fixa; A; 2002-08-21; 2016-07-21T09
105211; BRAD FC DE FI RF REFEREN DI LP 30.000; Renda Fixa; A; 2002-05-29; 2020-01-08T17
105597; BRADESCO H FC FI RF CURTO PRAZO; Renda Fixa; A; 2002-06-06; 2017-11-28T18
105910; ITAU PERSONNALITE FED LP RF REF DI FICFI; Renda Fixa; A; 2002-08-09; 2019-07-02T17
106046; SUL AMERICA OCEANO FI MULTIMERCADO; Multimercados; A; 2002-06-27; 2017-08-02T11
106089; MONT BLANC FI RF CRED PRIV PREV; Renda Fixa; A; 2002-08-13; 2019-12-09T15
106143; SANTANDER FC FI VI RF CRED PRIV; PrevidÃªncia; A; 2002-06-07; 2020-02-05T12
106186; SANT FIC FI 20 II MULT CRED PRIV; PrevidÃªncia; A; 2002-06-07; 2019-11-01T15
106208; SANTANDER FI VALE DO RIO DOCE ACOES;ações; A; 2002-06-07; 2019-06-13T15
106232; SANTANDER FIC FI III RF CRED PRIV; PrevidÃªncia; A; 2002-06-07; 2019-11-01T15
106267; SANTANDER FIC FI II RF CRED PRIV; PrevidÃªncia; A; 2002-06-07; 2019-11-01T15
106331; SANT FIC FI SELECAO MAX ACOES;ações; A; 2002-06-07; 2019-06-13T15
106356; SANTANDER FMP FGTS VALE;ações; A; 2002-06-07; 2019-07-01T18
106364; BNP PARIBAS NOVA YORK FI MULTIM PREV; Multimercados; A; 2002-07-05; 2017-10-27T18
106372; SANT FC FI 20 I MULT CRED PRIV; PrevidÃªncia; A; 2002-06-07; 2020-01-29T16
106471; CAIXA FIC PREV 300 RF; PrevidÃªncia; A; 2002-06-12; 2019-11-01T19
106534; CAIXA FI PCRJ RF; Renda Fixa; A; 2002-06-13; 2019-08-09T18
106593; SANTANDER FC FI LIQUIDEZ SIMPLES RF CP; Renda Fixa; A; 2002-09-10; 2020-06-25T16
106641; CAIXA FI MASTER LIQUIDEZ RF CURTO PRAZO; Renda Fixa; A; 2002-07-03; 2018-10-04T18
106674; ITAU INFLATION INDEX RENDA FIXA FICFI; Renda Fixa; A; 2002-09-02; 2016-02-11T16
106704; QUARTZO PREV RENDA FIXA FI; Renda Fixa; A; 2002-09-13; 2016-11-01T16
106739; CAIXA FIC PREVID MULT RV 0/15 300; PrevidÃªncia; A; 2002-06-19; 2020-05-05T16
106755; CAIXA FIC PREV 300 MULTI RV 15 30; PrevidÃªncia; A; 2002-06-19; 2020-04-09T23
106771; BB RF REF DI 30 MIL FC; Renda Fixa; E; 2002-09-13; 2019-12-09T15
106917; GRAN MULTIMERCADO FICFI CRED PRIV; Multimercados; A; 2002-09-19; 2016-08-03T15
107281; BRADESCO FC DE FI RF CRED PRIV MAXI; Renda Fixa; A; 2002-09-30; 2019-10-08T17
107441; SANTANDER FC FI MSA MULT; Multimercados; A; 2002-10-04; 2020-03-09T12
107662; ITAU PRIVATE KEY UPPER RF INDICES FICFI; Renda Fixa; A; 2002-10-08; 2019-07-02T17
107816; BNP PARIBAS INFLACAO FC FI RF; Renda Fixa; A; 2002-10-07; 2020-01-08T19
107999; ITAU RENDA FIXA INDICE DE PRECOS FICFI; Renda Fixa; A; 2002-10-18; 2019-07-03T17
108006; ITAU RENDA FIXA IMA B ATIVO FICFI; Renda Fixa; A; 2002-10-17; 2019-07-03T17
108081; BTG PACTUAL ANDROMEDA FIA;ações; A; 2002-10-18; 2020-06-03T16
108308; PREVINDUS MASTER MULTIMERCADO FI; Multimercados; A; 2002-10-28; 2019-07-02T17
108324; BRAM FI RF MULTI-INDICES; Renda Fixa; A; 2002-10-21; 2016-06-20T09
108340; BRADESCO FC DE FI RF MULTI-INDICES LP; Renda Fixa; A; 2002-10-22; 2018-07-13T12
108561; ITAU KEY SOURCE RF LP FI; Renda Fixa; A; 2002-11-01; 2019-07-02T17
108642; BB MULT MULTIGESTOR PLUS PRIVATE FC FI; Multimercados; A; 2002-11-05; 2019-01-07T16
108741; BRESSER HEDGE FI MULTIMERCADO; Multimercados; A; 2002-10-31; 2018-04-27T11
108758; ITAU ESPECIAL RF CURTO PRAZO FICFI; Renda Fixa; A; 2002-08-13; 2019-07-02T17
108766; BTG PACTUAL YIELD DI FI REF CRED PRIV; Renda Fixa; A; 2002-08-14; 2020-06-03T16
108898; SAFRA INFLATION FC FI RF; Renda Fixa; A; 2002-11-12; 2019-04-02T12
109053; BB PREV PUBLICO IGP M FI RF; PrevidÃªncia; A; 2002-08-15; 2019-11-01T15
109215; SUL AMERICA EXCELLENCE FI RF CRED PRIV; Renda Fixa; A; 2002-11-11; 2020-05-12T16
109241; CLARITAS LONG SHORT FI COTAS FI MULTI; Multimercados; A; 2002-09-04; 2019-09-17T16
109274; XANCE FIC DE FI MULTIM CRED PRIV; Multimercados; A; 2002-11-07; 2016-10-26T16
109290; CITIPREVIDENCIA CORP FI RF CONSERVADOR; PrevidÃªncia; E; 2002-11-18; 2020-06-25T16
109304; METLIFE SILVER RV 25 FIC FI MULT BALANCE; PrevidÃªncia; A; 2002-11-18; 2019-10-31T18
109381; METLIFE SILVER RF FC FI RENDA FIXA; PrevidÃªncia; A; 2002-11-22; 2019-12-10T16
109398; WA LIQUIDEZ FI RF CRED PRIV; Renda Fixa; A; 2002-11-21; 2019-05-06T17
109479; FORTE FC FI MULT CRED PRIV IE; Multimercados; A; 2002-08-30; 2020-03-05T18
109517; EDUCACAO DI RF REFERENCIADO DI FICFI; Renda Fixa; E; 2002-11-28; 2020-06-24T17
109568; BTG PACTUAL MULTIS FI MULTIMERCADO; Multimercados; A; 2002-10-01; 2018-11-12T16
109630; GAP ABSOLUTO FC FI MULTIMERCADO; Multimercados; A; 2002-10-01; 2019-08-07T17
109975; BB POLO 1 FI RF LP; Renda Fixa; A; 2002-11-20; 2016-03-02T16
110078; WM INCOME ALL FUND FC FI MULT CRED PRIV; Multimercados; A; 2002-09-10; 2019-01-10T22
110264; WA DI MAX PREMIUM FIC DE FI RF REF; Renda Fixa; A; 2002-12-13; 2018-12-10T19
110345; FI INVESTMET RF CORP PREV; PrevidÃªncia; E; 2003-01-27; 2020-06-25T16
110371; BRADESCO FI RENDA FIXA NEGOCIAL; Renda Fixa; A; 2002-12-12; 2016-07-25T19
110574; OPPORTUNITY MIDI FC DE FI MULTIMERCADO; Multimercados; A; 2002-11-26; 2020-03-27T16
111120; BRADESCO FIC DE FI RF CCDC; Renda Fixa; E; 2003-01-06; 2020-02-13T17
111554; ALFA PREVIDENCIA FI RF IP; Renda Fixa; A; 2003-01-02; 2019-06-10T17
111783; FI MULT FICUS; Multimercados; A; 2003-01-29; 2019-11-07T16
112151; CSHG CAMBRIDGE FC FI MULT; Multimercados; A; 2002-12-18; 2017-06-07T16
112283; CAIXA FIC FACIL RENDA FIXA SIMPLES; Renda Fixa; A; 2003-02-24; 2018-09-19T15
112331; SULAMERICA FIX 100 II FI RENDA FIXA; PrevidÃªncia; A; 2003-02-27; 2019-10-31T18
112380; VINCI GAS FI EM ACOES;ações; A; 2002-11-29; 2019-06-13T11
112399; PARIS I FI MULT CRED PRIV IE; Multimercados; A; 2002-11-29; 2019-12-05T16
112410; EVOLUTION FI ACOES IE;ações; A; 2002-12-16; 2019-06-17T17
112461; CANCALE FI ACOES;ações; A; 2002-11-29; 2019-06-27T17
112471; VERDE AM YIELD FI RF DIVIDA EXTERNA; Renda Fixa; A; 2002-11-29; 2019-09-18T12
112887; SUL AMERICA SAP CONCEDIDOS FI RENDA FIXA; Renda Fixa; A; 2002-12-17; 2019-12-11T01
112909; ALM BD FUNDO DE INVESTIMENTO RENDA FIXA; Renda Fixa; A; 2002-12-20; 2017-07-07T11
112968; BB RENDA FIXA REF DI COOPCRED FC FI; Renda Fixa; A; 2003-03-14; 2018-04-20T12
113131; CSHG ESMERALDA FI MULT IE; Multimercados; A; 2002-12-20; 2016-07-25T21
113190; CLARITAS HEDGE FIC FI MULT LONGO PRAZO; Multimercados; A; 2003-03-11; 2018-04-30T12
113212; SAFRA HIGH YIELD FI MULT; Multimercados; A; 2003-03-17; 2019-06-10T19
113220; BRADESCO FI RF ASSURANCE; Renda Fixa; A; 2002-12-20; 2017-11-28T18
113328; ALM POTIGUAR FI RENDA FIXA; Renda Fixa; A; 2003-01-02; 2019-04-23T17
113425; MANCHESTER MULT FI CREDITO PRIVADO; Multimercados; A; 2003-03-18; 2020-01-09T16
113433; CSHG SISTEMA FI MULT CRED PRIV IE; Multimercados; A; 2003-02-13; 2018-09-28T16
113451; FI MULTIMERCADO UNIPREV I; Multimercados; A; 2003-01-30; 2019-10-25T16
113727; WILMA FI MULTIMERCADO CRED PRIV INV EXT; Multimercados; A; 2003-03-18; 2018-04-27T11
113816; BB MULT MULTIGESTOR PRIVATE FC; Multimercados; A; 2003-04-08; 2019-08-21T17
113840; BB MULT MULTIGESTOR ARBITRAG PRIV FC FI; Multimercados; A; 2003-04-10; 2020-03-27T16
114146; ITAU REFERENCIADO DI VIP FICFI; Renda Fixa; A; 2003-04-16; 2019-07-03T17
114189; CSHG VERDE AM PILAR FIC FI MULT; Multimercados; A; 2003-03-21; 2016-08-01T11
114219; CSHG QUANTUM FI MULT CRED PRIV IE; Multimercados; A; 2002-12-30; 2016-07-22T18
114227; CSHG TALASSA FC FI MULT   CRED PRIV IE; Multimercados; A; 2003-01-23; 2018-02-23T09
114618; BB RF REFERENCIADO DI LP CLASSE 200 FC; Renda Fixa; A; 2003-04-22; 2017-05-03T15
114626; SANTANDER FC FI V RF CRED PRIV; PrevidÃªncia; A; 2003-04-28; 2020-02-05T12
114634; SADIA FIQFIE RENDA FIXA; PrevidÃªncia; A; 2003-04-28; 2019-11-01T16
114642; GBM MULTIMERCADO FICFI; Multimercados; A; 2003-04-24; 2019-12-05T16
114715; ICATU SEG CLASSIC FIC FI RENDA FIXA; PrevidÃªncia; A; 2003-04-22; 2019-12-06T19
114731; ICATU VANGUARDA XXXIII FI RF CRED PRIV; Renda Fixa; A; 2003-04-22; 2019-12-06T19
114741; ICATU VANGUARDA XXXIV FI RENDA FIXA; Renda Fixa; A; 2003-04-22; 2019-12-13T16
114766; ICATU VANGUARDA SEG SOBERANO FI RF; Renda Fixa; A; 2003-04-22; 2019-12-09T15
114936; CSHG ALL VERDE AM AGAR FC FI MULT; Multimercados; A; 2003-04-02; 2020-04-01T16
114995; OPPORTUNITY TOTAL FC FI MULTIMERCADO; Multimercados; A; 2003-05-08; 2020-02-10T18
115231; XP TOP CRED PRIV RF FI LP; Renda Fixa; A; 2003-02-18; 2019-04-30T18
115274; ARGOS FIA IE;ações; A; 2003-02-18; 2019-07-02T17
115398; FI BANESTES RESERVA CAPITALIZACAO RF; Renda Fixa; E; 2003-05-16; 2020-08-14T16
115525; BB EXCELENCIA 8 FICFI RENDA FIXA; Renda Fixa; A; 2003-05-15; 2016-07-21T09
115541; BRADESCO PRIME FIC DE FI CAMBIAL DOLAR; Cambial; A; 2003-05-19; 2017-03-27T17
115551; BRADESCO PRIME FIC DE FI RF REF DI; Renda Fixa; A; 2003-05-19; 2017-03-27T17
115568; BRADESCO PRIME FICFI RF MULTI INDICES LP; Renda Fixa; A; 2003-05-20; 2018-05-15T18
115576; BRADESCO PRIME FIC DE FI REF DI PLUS; Renda Fixa; A; 2003-05-19; 2017-02-22T17
115584; BRADESCO PRIME FIC DE FI MULTIMERCADO; Multimercados; A; 2003-05-19; 2018-03-05T10
115592; BRADESCO PRIME FIC DE FI RF PLUS; Renda Fixa; A; 2003-05-19; 2016-08-26T10
115606; BRADESCO PRIME FIC DE FI RF; Renda Fixa; A; 2003-05-19; 2017-02-22T17
115614; BB RF LP PRE IRF-M PRIVATE FC; Renda Fixa; A; 2003-05-21; 2019-11-25T16
115649; ANGRA MULTIMERCADO CREDITO PRIVADO FICFI; Multimercados; A; 2003-05-13; 2019-07-03T17
115665; FLORENCE MULTI CREDITO PRIVADO IE FI; Multimercados; A; 2003-05-15; 2019-11-07T16
115959; SANTANDER PB PORTO MULT CRED PRIV FI; Multimercados; A; 2003-05-29; 2020-06-05T16
115967; BRADESCO H FC FI RF REF DI LP 1.000; Renda Fixa; A; 2003-05-29; 2020-06-05T16
116114; ALKA MULT FICFI CRED PRIV IE; Multimercados; A; 2003-05-27; 2019-07-03T17
116122; WA PONTA VERDE FI RF; Renda Fixa; A; 2003-03-07; 2019-06-11T17
116157; BRADESCO H FI ACOES DIVIDENDOS;ações; A; 2003-02-28; 2019-06-13T11
116319; ITAU YEAR FIX RENDA FIXA FICFI; Renda Fixa; E; 2003-06-02; 2020-03-27T16
116408; UNIBANCO PREVER III FIX 100 FICFI E C RF; PrevidÃªncia; A; 2003-06-13; 2020-04-09T23
116416; UNIBANCO PREVER II RV 30 FIQFIE MULTI; PrevidÃªncia; A; 2003-06-13; 2019-11-01T17
116467; CAIXA FI HERCULES RF; Renda Fixa; A; 2003-04-01; 2018-09-20T16
116531; FC FI MULT CRED PRIV IE CAMPEA; Multimercados; A; 2003-06-20; 2017-08-15T11
116610; SAFRA EXECUTIVE PROFIT FIC FI RENDA FIXA; Renda Fixa; A; 2003-06-16; 2018-09-10T16
